story_prompt,total_seconds,clap_score,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,cinematic_dynamic_range_db,cinematic_crest_factor,cinematic_spectral_flatness,cinematic_spectral_entropy,cinematic_spectral_centroid_hz,spectral_kl_divergence,fad_score,error
"An astronaut frantically grapples with failing equipment in the dark abyss of space, punctuated by a catastrophic explosion, before the scene transitions to a corporate logo and then back to the desperate astronaut spinning uncontrollably against the Earth, pleading for help amidst escalating chaos and radio silence.",37.40036636475088,0.40620893239974976,6.70825e-05,3.863974,-32.500313,1,74.61267882345915,5.519701535610302,6.708250293741003e-05,3.863974094390869,1545.0633274856339,,,
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",36.49330178175114,0.49392056465148926,6.824947e-05,3.82636,-35.337677,44,78.14983277146297,3.497719330685424,6.824947195127606e-05,3.826359987258911,1001.9643549431318,,,
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",36.5137356987525,0.2136361300945282,1.8218083e-05,3.3454173,-34.174244,5,74.56994118614803,5.647105477339585,1.8218082914245315e-05,3.3454172611236572,839.6112125793532,,,
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",36.4690022397499,0.28900185227394104,3.4434146e-05,3.6822891,-34.35426,11,77.82664214608657,5.827036187769472,3.443414607318118e-05,3.6822891235351562,1191.0858543575366,,,
"The scene transitions from the worried faces of Llewelyn and Carla Jean Moss, followed by the chilling presence of Anton Chigurh, to the impactful reveal of the movie title, encapsulating a mood of grim foreboding.",36.957665323499896,0.37239694595336914,3.5788653e-05,3.5326297,-9.419135,65,27.932950827255606,6.624498475041074,3.57886528945528e-05,3.5326297283172607,974.2958695158047,,,
"The final moments of the trailer reveal the film's stark title and essential creative credits against a dark, bokeh-lit backdrop, culminating in a series of production company logos, signifying a contemplative conclusion.",36.94518990650067,0.5073725581169128,2.1159649e-05,2.0235765,-33.046383,1,72.78168471228607,6.9544299504226395,2.1159648895263672e-05,2.023576498031616,747.1480066486113,,,
"A quiet suburban night is shattered by the aftermath of a home invasion, revealing a seemingly ordinary man's unsettling calm amidst police inquiries and family distress, hinting at a suppressed, dangerous nature.",36.96500111450041,0.2784402072429657,0.00013768782,3.990637,-30.521706,5,74.14337289256437,22.393568472108534,0.00013768782082479447,3.9906370639801025,1703.7234895820077,,,
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",36.954978072501035,0.3127055764198303,3.8906095e-05,3.78643,-34.005833,6,78.03014330364678,4.944016342233564,3.89060951420106e-05,3.7864298820495605,1429.9623147802483,,,
"Within the grim confines of a prison yard and mess hall, an inmate's quiet contemplation of the sky and the natural world beyond inspires a fellow prisoner to articulate the enduring power of hope against formidable walls, a sentiment one wise elder acknowledges with a cautionary warning.",38.87428421874847,0.1384328305721283,1.781303e-05,3.0809774,-31.334658,3,70.70036261656281,4.3124412003918655,1.7813030353863724e-05,3.080977439880371,703.7798237590624,,,
"A whirlwind montage of lavish excess, power-flaunting, and hints of impending legal scrutiny, showcasing a charismatic financial mogul surrounded by money, beautiful women, and luxurious settings, culminating in a confrontational yacht encounter with federal agents.",39.05703601074765,0.3049693703651428,1.3698138e-05,2.2557561,-34.797585,24,76.47037323814011,5.34790072532129,1.3698137991013937e-05,2.255756139755249,510.85201582204166,,,
"A whirlwind montage of chaotic opulence, arrests, and extravagant revelry quickly transitions to a serene high-rise restaurant where a quirky mentor introduces a rhythmic, self-affirming ritual to a wide-eyed prot��g�� against the backdrop of a bustling city.",39.051346968749385,0.3758019506931305,8.436774e-05,4.555991,-31.7513,12,73.4154574532864,6.411621107477951,8.43677407829091e-05,4.555991172790527,1671.1700441047753,,,
"In a suburban park, a well-meaning but awkward father figure comically struggles to play football and connect with his stepson, while a supportive woman and a surprisingly athletic man later observe the budding friendship between the boys with smiles of approval.",38.96198846875177,0.13480466604232788,3.1726533e-05,2.860236,-32.74342,10,74.80707965220594,10.878170153188956,3.172653305227868e-05,2.8602359294891357,1013.3515508130944,,,
"Two frantic men attempt a chaotic escape from relentless pursuers in a parking lot, culminating in an absurdly intense car chase on the highway, suddenly soundtracked by an unexpected pop anthem.",40.12211672849935,0.411859929561615,7.9929654e-05,3.5915792,-31.13707,14,71.37921346732944,5.443767999681135,7.992965402081609e-05,3.5915791988372803,1381.732641732728,,,
"An armored, monstrous creature grunts and struggles to pull itself through a dense, muddy forest floor, punctuated by on-screen text, before a dramatic transition to the iconic studio logo and a final ominous silhouette of a warrior.",40.222822020498825,0.4433574080467224,0.00022858747,3.8416116,-36.499016,5,78.5337452772701,3.808813267135343,0.00022858746524434537,3.841611623764038,1709.8970897419103,,,
"Amidst a rapid-fire montage of high-stakes combat, mysterious alien creatures, and colossal monsters unleash chaotic destruction across dark industrial settings and otherworldly forests, hinting at an epic, genre-bending war for survival.",40.35689585450291,0.38606107234954834,3.3476168e-05,2.7334085,-4.3498096,55,17.074999171231084,3.3368603418887868,3.347616802784614e-05,2.7334084510803223,991.3653618903871,,,
"A man's hopeful quip in a desolate landscape quickly escalates into a frantic montage of fiery explosions and intense gunfire featuring a fierce woman, before plunging into ominous darkness where a monstrous, reptilian creature reveals its terrifying presence to a petrified observer.",40.26346118749916,0.5098064541816711,0.00022110889,4.1430254,-34.059193,13,77.47084386360629,6.89033230499804,0.00022110888676252216,4.1430253982543945,1842.6300943299013,,,
"A blue-skinned indigenous family battles futuristic human forces in a series of breathtaking aerial and ground skirmishes involving explosive weaponry and desperate escapes, highlighting their fierce resilience and familial bonds amidst chaos.",40.44040431250323,0.18300700187683105,5.0318973e-05,3.2444685,-30.913692,5,76.20429171198052,11.557212152303693,5.031897308072075e-05,3.2444684505462646,1265.8317469414735,,,
"This clip presents a dynamic montage of breathtaking alien landscapes and intense confrontations, featuring Na'vi warriors forming profound bonds with majestic creatures while fiercely battling against overwhelming enemy forces in both aerial dogfights and colossal aquatic skirmishes.",40.535911437498726,0.31359437108039856,1.1787616e-05,2.954002,-34.24304,2,76.8900498303123,4.505603748114297,1.1787616131186951e-05,2.9540019035339355,731.6298331980607,,,
"A young girl transitions from an innocent conversation about monsters and money with an older man and a chicken in a dimly lit, cozy home to a chaotic, explosive urban battlefield where she confronts real monsters amidst fireworks and destruction.",40.65272856249794,0.24195578694343567,0.00078857096,3.744382,-32.6776,7,76.07386445037375,9.81614963352988,0.0007885709637776017,3.744381904602051,2178.9431455787285,,,
"The clip rapidly transitions from intense night-time urban chaos and a distressed hospital scene to a desert car chase culminating in massive explosions and a frantic escape through a tunnel, before abruptly shifting to a serene rural landscape with calm conversation, setting a jarring contrast between high-stakes action and peaceful contemplation.",40.55431397849679,0.36754024028778076,2.6467846e-05,3.2982676,-32.440857,1,75.75040709165594,5.807929982471024,2.6467845600564033e-05,3.2982676029205322,957.9549944184969,,,
"A terrified woman's desperate flight from an unseen threat culminates in a horrific car collision on a desolate road, abruptly shifting to serene domestic scenes where mundane conversations about a troublesome tree hide a growing unease, underscored by glimpses of predatory wildlife in the night.",41.387805478998416,0.28727877140045166,0.00029721463,2.6755629,-33.411488,2,74.6732367311188,11.963588174332306,0.0002972146321553737,2.675562858581543,1815.961543671166,,,
"Humans are relentlessly pursued and terrorized by ferocious, unseen forces and monstrous creatures in a series of dark, chaotic, and fiery encounters, fighting desperately for survival against overwhelming odds.",41.492212479000955,0.22626061737537384,7.5372365e-05,3.57913,-7.844431,68,24.466893118686425,4.465757669782893,7.537236524512991e-05,3.579129934310913,1370.2823911868795,,,
"A young woman in a dense, sun-dappled forest experiences growing terror as mysterious events unfold, interspersed with scenes of an older woman sharing unsettling stories indoors, culminating in the young woman's horrified realization of a monstrous presence.",41.74181964499985,0.277565598487854,8.287807e-05,2.0236294,-35.69827,1,77.35005686978991,5.780975957776215,8.28780684969388e-05,2.0236294269561768,1379.116330425429,,,
"A seemingly idyllic suburban life quickly unravels into a supernatural horror, as a woman's transformation and an ominous prophecy lead her to a dark, unsettling forest.",41.510608270999,0.36095428466796875,6.400673e-05,3.3664017,-14.374678,16,38.373016705491395,6.378981634062361,6.400673009920865e-05,3.3664016723632812,1111.3321089068384,,,
"As an ancient ritual inadvertently unleashes terrifying demonic forces upon a modern city, desperate citizens and heroes alike must confront overwhelming destruction and grotesque horrors, culminating in a poignant moment of familial fear amidst the chaos.",43.423700431333906,0.37183260917663574,2.977943e-05,3.8993359,-32.53344,1,74.300346150004,4.862134371489451,2.9779430406051688e-05,3.8993358612060547,1184.806174884794,,,
"A quirky counselor interjects into a couple's seemingly troubled relationship, navigating their skepticism with a confident, slightly enigmatic demeanor across various domestic and public settings.",43.51300843133625,0.30630090832710266,4.633313e-05,4.1518726,-29.667892,20,70.78165760588293,11.998166819492196,4.633313074009493e-05,4.151872634887695,1140.9149450317952,,,
"The scene abruptly shifts from a dimly lit, intense discussion between two men about writing a serial killer's story, punctuated by stark textual reveals and unsettling sound effects, to sun-drenched, idyllic moments of a loving couple joyfully embracing while moving into a charming, tree-lined suburban home, underscored by melancholic music and the nostalgic sound of a record player, hinting at a sharp dichotomy between dark narrative creation and a serene domestic life.",43.6650050553338,0.13014203310012817,0.0012474655,3.721439,-29.9286,33,73.81308808524113,31.2220091801447,0.0012474654940888286,3.7214388847351074,2329.641200747899,,,
