story_prompt,decide_model_gemini-2.5-flash,toggle_fill_coverage_by_llm,toggle_use_avg_llm_and_dsp_to_predict_align,toggle_use_dl_based_llm_and_dsp_alignment_predictor,toggle_use_dsp,toggle_use_dsp_to_predict_align,toggle_use_llm_to_predict_align,toggle_use_movie_bgms,toggle_use_narrator,BackgroundMellow_baseline,AudioLDM2,tango2
"Humans are relentlessly pursued and terrorized by ferocious, unseen forces and monstrous creatures in a series of dark, chaotic, and fiery encounters, fighting desperately for survival against overwhelming odds.",87.61948167,85.21860054,82.21967036,199.0037851,86.90063085,83.78599229,85.4256021,198.9998684,85.15211344,85.14622202,24.466893118686425,8.929779600369086
"In a suburban park, a well-meaning but awkward father figure comically struggles to play football and connect with his stepson, while a supportive woman and a surprisingly athletic man later observe the budding friendship between the boys with smiles of approval.",198.8952753,72.92199933,82.65462371,82.72908533,198.0226069,199.0006602,199.0008826,76.42517437,198.928807,80.39010158,74.80707965220594,9.240038670047651
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",198.9868849,79.03631045,56.73347636,55.72860229,198.6970091,198.9244877,87.64658054,83.76489283,81.54482166,59.64433606,77.82664214608657,9.390208745133066
"The clip rapidly transitions from intense night-time urban chaos and a distressed hospital scene to a desert car chase culminating in massive explosions and a frantic escape through a tunnel, before abruptly shifting to a serene rural landscape with calm conversation, setting a jarring contrast between high-stakes action and peaceful contemplation.",87.42979552,83.49829315,197.7566103,84.80776068,84.41172303,87.09494136,86.38022263,87.63467427,87.83786956,88.17275659,75.75040709165594,9.390894910668312
"The final moments of the trailer reveal the film's stark title and essential creative credits against a dark, bokeh-lit backdrop, culminating in a series of production company logos, signifying a contemplative conclusion.",199.0158847,81.76596564,198.8830311,88.02740947,197.6059112,88.34654739,83.95219836,57.71669822,56.63406376,198.9801384,72.78168471228607,9.026294935426078
"The scene abruptly shifts from a dimly lit, intense discussion between two men about writing a serial killer's story, punctuated by stark textual reveals and unsettling sound effects, to sun-drenched, idyllic moments of a loving couple joyfully embracing while moving into a charming, tree-lined suburban home, underscored by melancholic music and the nostalgic sound of a record player, hinting at a sharp dichotomy between dark narrative creation and a serene domestic life.",198.9417997,87.24701661,198.999657,84.47022245,195.5325776,87.65123337,86.49035847,198.9904132,76.75907989,197.6476528,73.81308808524113,9.977919816174426
"The scene transitions from the worried faces of Llewelyn and Carla Jean Moss, followed by the chilling presence of Anton Chigurh, to the impactful reveal of the movie title, encapsulating a mood of grim foreboding.",86.61760054,198.9998069,198.9998434,198.9949794,193.4038223,79.55633917,199.0003802,83.29337855,198.9574657,198.7611783,27.93295082725561,9.746951714584442
"This clip presents a dynamic montage of breathtaking alien landscapes and intense confrontations, featuring Na'vi warriors forming profound bonds with majestic creatures while fiercely battling against overwhelming enemy forces in both aerial dogfights and colossal aquatic skirmishes.",56.34834837,70.48183839,84.07291423,84.52606286,62.26579957,82.09661495,81.2427012,198.9979861,80.97690562,86.2391053,76.8900498303123,9.544846124863254
"Two frantic men attempt a chaotic escape from relentless pursuers in a parking lot, culminating in an absurdly intense car chase on the highway, suddenly soundtracked by an unexpected pop anthem.",83.8771658,77.78127974,87.11672134,198.7382403,75.44380276,89.10323542,89.03892452,60.33168948,81.77331899,78.39243128,71.37921346732944,8.757751811225585
"Within the grim confines of a prison yard and mess hall, an inmate's quiet contemplation of the sky and the natural world beyond inspires a fellow prisoner to articulate the enduring power of hope against formidable walls, a sentiment one wise elder acknowledges with a cautionary warning.",82.65959835,84.86777521,82.09678187,198.9994415,189.3668313,79.59179803,198.8403528,73.27037257,77.00461586,198.9701925,70.70036261656281,9.107047566445225
